date,media_key,media_name,platform,placement_id,placement_name,placement_type,thirdparty_id,thirdparty_name,report_type,request_value,response_value,impression_value,click_value,revenue_usd,fill_rate,ctr,ecpm
2026-04-19,880605234,황금거위(iOS),,BppkJs2NQiqilXy,황금거위_황금알_IV_iOS,전면,0,Adpopcorn SSP,1,1046,274,74,12,0.382965,7.07,16.22,5.1752
2026-04-19,880605234,황금거위(iOS),,BppkJs2NQiqilXy,황금거위_황금알_IV_iOS,전면,16,Fyber,4,2,0,1,1,0.001000,50.00,100.00,1.0000
2026-04-19,880605234,황금거위(iOS),,BppkJs2NQiqilXy,황금거위_황금알_IV_iOS,전면,34,ID 34,4,908,908,654,30,2.292279,72.03,4.59,3.5050
2026-04-19,880605234,황금거위(iOS),,BppkJs2NQiqilXy,황금거위_황금알_IV_iOS,전면,18,Pangle,4,2,2,1,1,0.000000,50.00,100.00,0.0000
2026-04-20,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,0,Adpopcorn SSP,1,1607,493,326,83,2.139506,20.29,25.46,6.5629
2026-04-20,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,21,AppLovin WF,4,0,0,7,4,0.010000,0.00,57.14,1.4286
2026-04-20,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,16,Fyber,4,425,0,18,5,0.018000,4.24,27.78,1.0000
2026-04-20,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,34,ID 34,4,1024,664,464,13,0.234678,45.31,2.80,0.5058
2026-04-20,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,18,Pangle,4,368,283,181,30,0.070000,49.18,16.57,0.3867
2026-04-20,152630613,황금거위(AOS),,TcKzRUNsjYIQFJs,황금거위_미니게임1_RV_Android,RV,14,Vungle,4,0,0,4,0,0.001755,0.00,0.00,0.4388
2026-04-20,880605234,황금거위(iOS),,dwOiJPQUsoXKdMT,황금거위_미니게임1_RV_iOS,RV,0,Adpopcorn SSP,1,116,39,12,5,0.109904,10.34,41.67,9.1587
